1499428835.215632000,192.168.10.9,192.168.10.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
1499428835.215636000,192.168.10.9,192.168.10.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
1499428835.215812000,192.168.10.9,192.168.10.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
1499428835.215860000,192.168.10.9,192.168.10.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
1499428835.215873000,192.168.10.3,192.168.10.9,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
1499428835.215877000,192.168.10.3,192.168.10.9,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
1499428835.215989000,192.168.10.3,192.168.10.9,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
1499428835.216037000,192.168.10.3,192.168.10.9,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
1499428835.217384000,192.168.10.9,192.168.10.3,DC.Testbed1.ca,1
1499428835.217388000,192.168.10.9,192.168.10.3,DC.Testbed1.ca,1
1499428835.217456000,192.168.10.9,192.168.10.3,DC.Testbed1.ca,1
1499428835.217505000,192.168.10.9,192.168.10.3,DC.Testbed1.ca,1
1499428835.217525000,192.168.10.3,192.168.10.9,DC.Testbed1.ca,1
1499428835.217529000,192.168.10.3,192.168.10.9,DC.Testbed1.ca,1
1499428835.217591000,192.168.10.3,192.168.10.9,DC.Testbed1.ca,1
1499428835.217640000,192.168.10.3,192.168.10.9,DC.Testbed1.ca,1
1499428835.387229000,192.168.10.9,192.168.10.3,_ldap._tcp.Default-First-Site-Name._sites.Testbed1.ca,33
1499428835.387232000,192.168.10.9,192.168.10.3,_ldap._tcp.Default-First-Site-Name._sites.Testbed1.ca,33
1499428835.387423000,192.168.10.3,192.168.10.9,_ldap._tcp.Default-First-Site-Name._sites.Testbed1.ca,33
1499428835.387427000,192.168.10.3,192.168.10.9,_ldap._tcp.Default-First-Site-Name._sites.Testbed1.ca,33
1499428841.926822000,192.168.10.25,192.168.10.3,DC.Testbed1.ca,1
1499428841.926825000,192.168.10.25,192.168.10.3,DC.Testbed1.ca,1
1499428841.927025000,192.168.10.3,192.168.10.25,DC.Testbed1.ca,1
1499428841.927072000,192.168.10.3,192.168.10.25,DC.Testbed1.ca,1
1499428841.928726000,192.168.10.25,192.168.10.3,_ldap._tcp.testbed1.ca,33
1499428841.928774000,192.168.10.25,192.168.10.3,_ldap._tcp.testbed1.ca,33
1499428841.928827000,192.168.10.25,192.168.10.3,testbed1.ca,1
1499428841.928876000,192.168.10.25,192.168.10.3,testbed1.ca,1
1499428841.928937000,192.168.10.3,192.168.10.25,_ldap._tcp.testbed1.ca,33
1499428841.928941000,192.168.10.3,192.168.10.25,_ldap._tcp.testbed1.ca,33
1499428841.929012000,192.168.10.3,192.168.10.25,testbed1.ca,1
1499428841.929060000,192.168.10.3,192.168.10.25,testbed1.ca,1
1499428842.208259000,192.168.10.25,192.168.10.3,_ntp._udp.time.apple.com,33
1499428842.208307000,192.168.10.25,192.168.10.3,_ntp._udp.time.apple.com,33
1499428842.208361000,192.168.10.25,192.168.10.3,time.apple.com,1
1499428842.208409000,192.168.10.25,192.168.10.3,time.apple.com,1
1499428842.208498000,192.168.10.3,192.168.10.1,_ntp._udp.time.apple.com,33
1499428842.208549000,192.168.10.3,192.168.10.1,time.apple.com,1
1499428842.232025000,192.168.10.1,192.168.10.3,_ntp._udp.time.apple.com,33
1499428842.232269000,192.168.10.3,192.168.10.25,_ntp._udp.time.apple.com,33
1499428842.232272000,192.168.10.3,192.168.10.25,_ntp._udp.time.apple.com,33
1499428842.232743000,192.168.10.25,192.168.10.3,_ntp._udp.time.apple.com.testbed1.ca,33
1499428842.232790000,192.168.10.25,192.168.10.3,_ntp._udp.time.apple.com.testbed1.ca,33
1499428842.232935000,192.168.10.3,192.168.10.25,_ntp._udp.time.apple.com.testbed1.ca,33
1499428842.232938000,192.168.10.3,192.168.10.25,_ntp._udp.time.apple.com.testbed1.ca,33
1499428842.328069000,192.168.10.1,192.168.10.3,time.apple.com,1
1499428842.328349000,192.168.10.3,192.168.10.25,time.apple.com,1
1499428842.328352000,192.168.10.3,192.168.10.25,time.apple.com,1
1499428842.855251000,192.168.10.9,192.168.10.3,mitacs-pc6.Testbed1.ca,6
1499428842.855254000,192.168.10.9,192.168.10.3,mitacs-pc6.Testbed1.ca,6
1499428842.855444000,192.168.10.3,192.168.10.9,mitacs-pc6.Testbed1.ca,6
1499428842.855447000,192.168.10.3,192.168.10.9,mitacs-pc6.Testbed1.ca,6
1499428842.855942000,192.168.10.9,192.168.10.3,Testbed1.ca,6
1499428842.855945000,192.168.10.9,192.168.10.3,Testbed1.ca,6
1499428842.856673000,192.168.10.3,192.168.10.9,Testbed1.ca,6
1499428842.856677000,192.168.10.3,192.168.10.9,Testbed1.ca,6
1499428842.857282000,192.168.10.9,192.168.10.3,9.10.168.192.in-addr.arpa,6
1499428842.857285000,192.168.10.9,192.168.10.3,9.10.168.192.in-addr.arpa,6
1499428842.857461000,192.168.10.3,192.168.10.9,9.10.168.192.in-addr.arpa,6
1499428842.857465000,192.168.10.3,192.168.10.9,9.10.168.192.in-addr.arpa,6
1499428842.857963000,192.168.10.9,192.168.10.3,10.168.192.in-addr.arpa,6
1499428842.857966000,192.168.10.9,192.168.10.3,10.168.192.in-addr.arpa,6
1499428842.858559000,192.168.10.3,192.168.10.9,10.168.192.in-addr.arpa,6
1499428842.858563000,192.168.10.3,192.168.10.9,10.168.192.in-addr.arpa,6
1499428842.903745000,192.168.10.25,192.168.10.3,25.10.168.192.in-addr.arpa,12
1499428842.903791000,192.168.10.25,192.168.10.3,25.10.168.192.in-addr.arpa,12
1499428842.903927000,192.168.10.3,192.168.10.25,25.10.168.192.in-addr.arpa,12
1499428842.903931000,192.168.10.3,192.168.10.25,25.10.168.192.in-addr.arpa,12
1499428847.199905000,192.168.10.14,192.168.10.3,wpad.Testbed1.ca,1
1499428847.199908000,192.168.10.14,192.168.10.3,wpad.Testbed1.ca,1
1499428848.330717000,192.168.10.14,192.168.10.3,wpad.Testbed1.ca,1
1499428848.330720000,192.168.10.14,192.168.10.3,wpad.Testbed1.ca,1
1499428848.476068000,192.168.10.14,192.168.10.3,_ldap._tcp.dc._msdcs.Testbed1.ca,33
1499428848.476072000,192.168.10.14,192.168.10.3,_ldap._tcp.dc._msdcs.Testbed1.ca,33
1499428848.476253000,192.168.10.3,192.168.10.14,_ldap._tcp.dc._msdcs.Testbed1.ca,33
1499428848.476256000,192.168.10.3,192.168.10.14,_ldap._tcp.dc._msdcs.Testbed1.ca,33
1499428848.477251000,192.168.10.14,192.168.10.3,DC.Testbed1.ca,1
1499428848.477255000,192.168.10.14,192.168.10.3,DC.Testbed1.ca,1
1499428848.477388000,192.168.10.3,192.168.10.14,DC.Testbed1.ca,1
1499428848.477391000,192.168.10.3,192.168.10.14,DC.Testbed1.ca,1
1499428848.662728000,192.168.10.14,192.168.10.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.Testbed1.ca,33
